Ingredient_Name,Description,Health_Risk_Score,Is_Allergen
"Calcium Sulfide","Calcium salt of sulfide ion, used in the leather industry, as a reducing agent, and in the production of hydrogen sulfide",3,FALSE
"Ammonium Sulfide","Ammonium salt of sulfide ion, used in the textile industry, as a reducing agent, and in analytical chemistry",3,FALSE
"Magnesium Sulfide","Magnesium salt of sulfide ion, used in the production of magnesium metal, as a pigment, and in fireworks",3,FALSE
"Aluminum Sulfide","Aluminum salt of sulfide ion, used in the production of aluminum metal and as a catalyst in organic synthesis",3,FALSE
"Iron Sulfide","Compound of iron and sulfur, commonly known as pyrite or fool's gold, used in jewelry, as a mineral specimen, and in sulfuric acid production",3,FALSE
"Zinc Sulfide","Compound of zinc and sulfur, used in luminescent materials, as a pigment, and in the production of semiconductor devices",3,FALSE
"Copper Sulfide","Compound of copper and sulfur, used in the production of copper metal, as a pigment, and in some electronic applications",3,FALSE
"Sodium Nitride","Sodium salt of nitride ion, not commonly used due to its high reactivity and instability",3,FALSE
"Potassium Nitride","Potassium salt of nitride ion, not commonly used due to its high reactivity and instability",3,FALSE
"Calcium Nitride","Calcium salt of nitride ion, used as a desiccant, in the production of ammonia, and as a reducing agent",3,FALSE
"Ammonium Nitride","Ammonium salt of nitride ion, not commonly used due to its high reactivity and instability",3,FALSE
"Magnesium Nitride","Magnesium salt of nitride ion, used as a source of nitrogen in fertilizer production and as a reducing agent",3,FALSE
"Aluminum Nitride","Compound of aluminum and nitrogen, used in the production of ceramics, as a substrate for electronic devices, and in thermal management applications",3,FALSE
"Iron Nitride","Compound of iron and nitrogen, used in the production of steel, as a catalyst, and in some electronic applications",3,FALSE
"Zinc Nitride","Compound of zinc and nitrogen, not commonly used due to its high reactivity and instability",3,FALSE
"Copper Nitride","Compound of copper and nitrogen, not commonly used due to its high reactivity and instability",3,FALSE
"Sodium Chloride","Chemical compound consisting of sodium and chlorine ions, commonly known as table salt, used as a seasoning and preservative in food, and in various industrial applications",1,FALSE
"Tomato","Edible fruit commonly used in cooking and salads, rich in vitamins, minerals, and antioxidants",1,FALSE
"Potato","Starchy tuberous crop commonly used in cooking, rich in carbohydrates and vitamins",1,FALSE
"Onion","Edible bulb vegetable widely used in cooking for flavoring, rich in vitamins and antioxidants",1,FALSE
"Garlic","Edible bulb vegetable known for its strong flavor and health benefits, including antioxidant and antimicrobial properties",1,FALSE
"Carrot","Edible root vegetable known for its bright orange color and high beta-carotene content, rich in vitamins and antioxidants",1,FALSE
"Bell Pepper","Edible fruit, often used as a vegetable in cooking, available in various colors and rich in vitamins and antioxidants",1,FALSE
"Spinach","Leafy green vegetable known for its nutritional value, including high levels of vitamins, minerals, and antioxidants",1,FALSE
"Broccoli","Edible green vegetable known for its high nutritional content, including vitamins, minerals, and antioxidants",1,FALSE
"Cauliflower","Edible vegetable belonging to the cruciferous family, known for its white florets and nutritional benefits",1,FALSE
"Cabbage","Leafy green or purple vegetable, often used in cooking and salads, rich in vitamins and antioxidants",1,FALSE
"Lettuce","Leafy vegetable commonly used in salads and sandwiches, available in various types such as iceberg, romaine, and leaf lettuce",1,FALSE
"Cucumber","Edible fruit commonly used as a vegetable in salads and dishes, known for its high water content",1,FALSE
"Zucchini","Edible fruit belonging to the squash family, often used in cooking and baking, rich in vitamins and minerals",1,FALSE
"Eggplant","Edible fruit known for its purple color and often used in cooking, rich in vitamins, minerals, and antioxidants",1,FALSE
"Mushroom","Edible fungus with various culinary uses, known for its umami flavor and nutritional benefits",1,FALSE
"Asparagus","Edible shoot vegetable known for its delicate flavor and high nutritional content, including vitamins and minerals",1,FALSE
"Green Bean","Edible pod vegetable, also known as string beans or snap beans, rich in vitamins and minerals",1,FALSE
"Pea","Edible seed vegetable, often used in cooking and salads, rich in protein, fiber, vitamins, and minerals",1,FALSE
"Brussels Sprout","Edible green vegetable belonging to the cabbage family, known for its small size and nutritional benefits",1,FALSE
"Radish","Edible root vegetable known for its crisp texture and peppery flavor, often used in salads and dishes",1,FALSE
"Celery","Edible stalk vegetable known for its crunchy texture and mild flavor, often used in salads, soups, and snacks",1,FALSE
"Kale","Leafy green vegetable known for its nutritional value, including high levels of vitamins, minerals, and antioxidants",1,FALSE
"Swiss Chard","Leafy green vegetable known for its colorful stems and nutritional benefits, including vitamins and minerals",1,FALSE
"Bok Choy","Leafy green vegetable commonly used in Asian cuisine, known for its mild flavor and nutritional value",1,FALSE
"Leek","Edible vegetable with a mild onion-like flavor, often used in soups, stews, and savory dishes",1,FALSE
"Artichoke","Edible flower bud vegetable known for its unique flavor and texture, often used in cooking and salads",1,FALSE
"Beetroot","Edible root vegetable known for its deep red color and earthy flavor, often used in cooking and salads",1,FALSE
"Sweet Potato","Starchy root vegetable known for its sweet flavor and nutritional benefits, rich in vitamins and minerals",1,FALSE
"Pumpkin","Edible fruit commonly used in cooking and baking, known for its sweet flavor and nutritional value",1,FALSE
"Butternut Squash","Edible fruit with a sweet, nutty flavor, often used in soups, stews, and side dishes",1,FALSE
"Acorn Squash","Edible fruit with a mild, sweet flavor, often used in cooking and baking",1,FALSE
"Spaghetti Squash","Edible fruit with a stringy texture, often used as a low-carb alternative to pasta",1,FALSE
"Turnip","Edible root vegetable with a peppery flavor, often used in cooking and salads",1,FALSE
"Rutabaga","Root vegetable similar to a turnip but larger and sweeter, commonly used in cooking",1,FALSE
"Parsnip","Root vegetable with a sweet, nutty flavor, often used in soups, stews, and roasted dishes",1,FALSE
"Yam","Starchy tuberous root vegetable with a sweet flavor, commonly used in cooking and baking",1,FALSE
"Radicchio","Leafy vegetable with a bitter flavor, often used in salads and as a garnish",1,FALSE
"Endive","Leafy vegetable with a slightly bitter flavor, commonly used in salads and appetizers",1,FALSE
"Escarole","Leafy green vegetable with a slightly bitter flavor, commonly used in soups and salads",1,FALSE
"Arugula","Leafy green vegetable with a peppery flavor, commonly used in salads and as a pizza topping",1,FALSE
"Watercress","Aquatic plant with a peppery flavor, commonly used in salads, sandwiches, and as a garnish",1,FALSE
"Fennel","Edible bulb vegetable with a mild, licorice-like flavor, commonly used in cooking and salads",1,FALSE
"Kohlrabi","Edible bulb vegetable with a mild, sweet flavor, often used in salads and slaws",1,FALSE
"Collard Greens","Leafy green vegetable with a mild, cabbage-like flavor, commonly used in Southern cuisine",1,FALSE
"Mustard Greens","Leafy green vegetable with a spicy, mustard-like flavor, commonly used in cooking and salads",1,FALSE
"Turnip Greens","Leafy greens of the turnip plant, often cooked or used raw in salads",1,FALSE
"Dandelion Greens","Leafy greens of the dandelion plant, known for their bitter flavor and nutritional benefits",1,FALSE
"Purslane","Edible succulent plant with a slightly tangy flavor, commonly used in salads and stir-fries",1,FALSE
"Bamboo Shoots","Edible shoots of the bamboo plant, commonly used in Asian cuisine",1,FALSE
"Bean Sprouts","Edible sprouts of various bean seeds, commonly used in salads, stir-fries, and sandwiches",1,FALSE
"Alfalfa Sprouts","Edible sprouts of alfalfa seeds, commonly used in salads, sandwiches, and wraps",1,FALSE
"Lentil Sprouts","Edible sprouts of lentil seeds, rich in protein and commonly used in salads and sandwiches",1,FALSE
"Pea Sprouts","Edible sprouts of pea seeds, commonly used in salads, stir-fries, and sandwiches",1,FALSE
"Radish Sprouts","Edible sprouts of radish seeds, known for their peppery flavor and crunchy texture",1,FALSE
"Sunflower Sprouts","Edible sprouts of sunflower seeds, commonly used in salads, sandwiches, and wraps",1,FALSE
"Clover Sprouts","Edible sprouts of clover seeds, commonly used in salads, sandwiches, and wraps",1,FALSE
"Soybean Sprouts","Edible sprouts of soybean seeds, commonly used in Asian cuisine and vegetarian dishes",1,FALSE
"Onion Sprouts","Edible sprouts of onion seeds, known for their mild onion flavor and crisp texture",1,FALSE
"Garlic Sprouts","Edible sprouts of garlic cloves, known for their mild garlic flavor and nutritional benefits",1,FALSE
"Shallot Sprouts","Edible sprouts of shallot bulbs, similar in flavor to onions and commonly used in salads and sandwiches",1,FALSE
